Id,OT
0,9.50744342803955
1,9.536774635314941
2,9.519977569580078
3,9.45881175994873
4,9.291312217712402
5,9.123408317565918
6,8.925838470458984
7,8.711867332458496
8,8.505477905273438
9,8.89139461517334
10,8.910058975219727
11,8.931767463684082
12,8.936535835266113
13,8.87560749053955
14,8.786945343017578
15,8.692052841186523
16,8.647965431213379
17,8.645922660827637
18,8.696681022644043
19,8.814912796020508
20,8.957574844360352
21,9.108281135559082
22,9.256035804748535
23,9.328960418701172
24,9.357976913452148
25,9.374434471130371
26,9.35814380645752
27,9.30144214630127
28,9.182890892028809
29,9.015101432800293
30,8.797228813171387
31,8.579537391662598
32,8.368139266967773
33,9.026068687438965
34,9.04777717590332
35,9.069143295288086
36,9.065291404724121
37,8.991236686706543
38,8.887911796569824
39,8.722721099853516
40,8.68283462524414
41,8.676287651062012
42,8.708810806274414
43,8.804685592651367
44,8.965527534484863
45,9.144588470458984
46,9.205063819885254
47,9.229341506958008
48,9.222068786621094
49,9.210457801818848
50,9.207341194152832
51,9.124954223632812
52,9.061491966247559
53,8.896299362182617
54,8.687177658081055
55,8.456080436706543
56,8.233569145202637
57,9.160611152648926
58,9.184184074401855
59,9.217671394348145
60,9.193638801574707
61,9.10236644744873
62,8.991375923156738
63,8.825003623962402
64,8.72291088104248
65,8.711176872253418
66,8.712809562683105
67,8.82545280456543
68,8.973478317260742
69,9.097697257995605
70,9.157767295837402
71,9.156173706054688
72,9.113476753234863
73,9.101866722106934
74,9.092058181762695
75,9.022432327270508
76,8.935222625732422
77,8.800447463989258
78,8.628907203674316
79,8.4278564453125
80,8.202454566955566
81,9.289009094238281
82,9.31326961517334
83,9.361855506896973
84,9.307823181152344
85,9.206732749938965
86,9.09161376953125
87,8.963292121887207
88,8.80782699584961
89,8.746066093444824
90,8.753059387207031
91,8.845949172973633
92,8.973613739013672
93,9.023598670959473
94,9.110692977905273
95,9.067729949951172
96,9.014870643615723
97,8.993274688720703
98,8.9819917678833
99,8.919760704040527
