Id,OT
0,12.599569320678711
1,12.661689758300781
2,12.723862648010254
3,12.785993576049805
4,12.848150253295898
5,12.910289764404297
6,12.972479820251465
7,13.034627914428711
8,13.096786499023438
9,11.69485855102539
10,11.756996154785156
11,11.819180488586426
12,11.881302833557129
13,11.943483352661133
14,12.005592346191406
15,12.067764282226562
16,12.129939079284668
17,12.192085266113281
18,12.254232406616211
19,12.316410064697266
20,12.37853717803955
21,12.440698623657227
22,12.502840042114258
23,12.565011024475098
24,12.627159118652344
25,12.68930435180664
26,12.75143051147461
27,12.813620567321777
28,12.87576675415039
29,12.937931060791016
30,13.000079154968262
31,13.062240600585938
32,13.124396324157715
33,11.722456932067871
34,11.784626007080078
35,11.846770286560059
36,11.908945083618164
37,11.971090316772461
38,12.033220291137695
39,12.095370292663574
40,12.157543182373047
41,12.219684600830078
42,12.281880378723145
43,12.34401798248291
44,12.406177520751953
45,12.468314170837402
46,12.53046703338623
47,12.59262752532959
48,12.654764175415039
49,12.716907501220703
50,12.779082298278809
51,12.841231346130371
52,12.90337085723877
53,12.965539932250977
54,13.027690887451172
55,13.089838981628418
56,13.152018547058105
57,11.750079154968262
58,11.812261581420898
59,11.874398231506348
60,11.936534881591797
61,11.998712539672852
62,12.060891151428223
63,12.123006820678711
64,12.185166358947754
65,12.247310638427734
66,12.30945873260498
67,12.371614456176758
68,12.433793067932129
69,12.495903968811035
70,12.558064460754395
71,12.62024211883545
72,12.68237590789795
73,12.744540214538574
74,12.806703567504883
75,12.868843078613281
76,12.931012153625488
77,12.993147850036621
78,13.055314064025879
79,13.117446899414062
80,13.179609298706055
81,11.777682304382324
82,11.839837074279785
83,11.902018547058105
84,11.96413803100586
85,12.026314735412598
86,12.088473320007324
87,12.150604248046875
88,12.212770462036133
89,12.274941444396973
90,12.337066650390625
91,12.399227142333984
92,12.461376190185547
93,12.523526191711426
94,12.585715293884277
95,12.647854804992676
96,12.710001945495605
97,12.77212142944336
98,12.834283828735352
99,12.896462440490723
